Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
100.00%,76.19%,0.0295,0.8777,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0181,0.2465,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0214,0.4181,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,90.48%,0.106,0.2672,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,90.48%,0.1816,0.3541,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,13,,,,,100.00%,89.52%,0.03506,0.35876,,0,0.04562576,0.033560344,0.062730874
,,,,,,,,,,,,,,
100.00%,90.48%,0.0213,0.3218,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0193,0.3287,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.086,0.3284,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0164,0.4516,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0323,0.3633,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,14,,,,,98.00%,86.67%,0.07172,0.43618,,0.05,0.081336395,0.103640513,0.340869255
,,,,,,,,,,,,,,
100.00%,76.19%,0.0295,0.9269,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,80.95%,0.2383,0.5094,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0225,0.0921,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0432,0.4963,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0251,0.1562,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,15,,,,,100.00%,92.38%,0.02114,0.35038,,0,0.0476,0.006731518,0.226487989
,,,,,,,,,,,,,,
100.00%,90.48%,0.0159,0.2508,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,100.00%,0.0107,0.0311,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0258,0.5817,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0224,0.3061,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0309,0.5822,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,16,,,,,96.00%,87.62%,0.1078,0.33326,,0.05,0.04765,0.15029776,0.102439088
,,,,,,,,,,,,,,
100.00%,90.48%,0.0134,0.4062,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0271,0.2541,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.009,0.4574,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,90.48%,0.3167,0.2623,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,85.71%,0.1728,0.2863,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,17,,,,,100.00%,90.48%,0.01252,0.45888,,0,0.0238,0.007760799,0.187536574
,,,,,,,,,,,,,,
100.00%,90.48%,0.022,0.6265,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0115,0.3413,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0053,0.3896,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0058,0.1722,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.018,0.7648,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,18,,,,,100.00%,77.14%,0.02002,0.7792,,0,0.098174381,0.012214575,0.557925003
,,,,,,,,,,,,,,
100.00%,80.95%,0.0177,0.4069,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0345,0.8392,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,71.43%,0.0071,1.4253,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0104,0.1499,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,57.14%,0.0304,1.0747,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,19,,,,,100.00%,91.43%,0.01722,0.25384,,0,0.045617056,0.020220287,0.174812309
,,,,,,,,,,,,,,
100.00%,95.24%,0.0088,0.1509,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0023,0.1117,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0151,0.4125,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0478,0.4507,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0121,0.1434,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,20,,,,,98.00%,87.62%,0.04502,0.43786,,0.05,0.081341277,0.047055464,0.22825755
,,,,,,,,,,,,,,
100.00%,95.24%,0.0102,0.1171,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,76.19%,0.1133,0.6592,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0689,0.2702,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0226,0.36,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0101,0.7828,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,21,,,,,98.00%,86.67%,0.0541,0.57592,,0,0.081336395,0.002340228,0.34922338
,,,,,,,,,,,,,,
100.00%,80.95%,0.0068,0.7177,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.011,0.3227,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0058,1.1593,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0066,0.5892,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,95.24%,0.2403,0.0907,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,22,,,,,98.00%,86.67%,0.06046,0.44066,,0.05,0.07145,0.050584484,0.192698891
,,,,,,,,,,,,,,
90.00%,80.95%,0.1002,0.6653,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0111,0.5401,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.012,0.5525,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0981,0.2174,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0809,0.228,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,23,,,,,100.00%,91.43%,0.01408,0.40202,,0,0.105594993,0.017846848,0.591696603
,,,,,,,,,,,,,,
100.00%,100.00%,0.0415,0.0201,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0035,1.2794,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0038,0.1008,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.017,0.1923,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0046,0.4175,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,24,,,,,98.00%,93.34%,0.053,0.26122,,0.05,0.027481873,0.061636867,0.191084083
,,,,,,,,,,,,,,
100.00%,90.48%,0.0107,0.3137,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.1081,0.4972,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,95.24%,0.1271,0.0807,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0127,0.1244,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0064,0.2901,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,25,,,,,98.00%,88.57%,0.04042,0.50642,,0,0.061502981,0.007218668,0.256197827
,,,,,,,,,,,,,,
100.00%,85.71%,0.0109,0.5028,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0155,0.3211,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0166,0.2773,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0279,0.8408,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,90.48%,0.1312,0.5901,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,26,,,,,100.00%,84.76%,0.01136,0.48074,,0,0.059928478,0.003075711,0.227606049
,,,,,,,,,,,,,,
100.00%,90.48%,0.0111,0.2492,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0143,0.5751,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.011,0.7808,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0068,0.4101,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0136,0.3885,,,,,,,,,,,
