Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       50.00% |       33.33% |       1.7426 |       1.7594 |          0.0010 |
|       5 |          50 |       00:00:24 |       50.00% |       66.67% |       1.2072 |       1.1997 |          0.0010 |
|      10 |         100 |       00:00:47 |       50.00% |       61.90% |       1.1967 |       1.2331 |          0.0010 |
|      14 |         150 |       00:01:11 |       60.00% |       52.38% |       0.9723 |       1.1682 |          0.0001 |
|      19 |         200 |       00:01:34 |       60.00% |       47.62% |       0.8559 |       1.2125 |          0.0001 |
|      23 |         250 |       00:01:57 |       50.00% |       52.38% |       0.9471 |       1.1917 |      1.0000e-05 |
|      28 |         300 |       00:02:21 |       40.00% |       42.86% |       1.2804 |       1.3810 |      1.0000e-05 |
|      32 |         350 |       00:02:44 |       60.00% |       47.62% |       0.9622 |       1.2754 |      1.0000e-06 |
|      37 |         400 |       00:03:07 |       40.00% |       42.86% |       1.3939 |       1.3001 |      1.0000e-06 |
|      41 |         450 |       00:03:30 |       70.00% |       52.38% |       0.8901 |       1.3365 |      1.0000e-07 |
|      46 |         500 |       00:03:53 |       80.00% |       52.38% |       0.7364 |       1.3997 |      1.0000e-07 |
|      50 |         550 |       00:04:17 |       60.00% |       47.62% |       1.0652 |       1.2018 |      1.0000e-07 |
|      55 |         600 |       00:04:40 |       80.00% |       47.62% |       0.7227 |       1.3643 |      1.0000e-08 |
|      60 |         650 |       00:05:03 |       50.00% |       52.38% |       1.4260 |       1.3393 |      1.0000e-08 |
|      64 |         700 |       00:05:26 |       60.00% |       47.62% |       0.8432 |       1.2264 |      1.0000e-09 |
|      69 |         750 |       00:05:50 |       80.00% |       47.62% |       0.6596 |       1.2171 |      1.0000e-09 |
|      73 |         800 |       00:06:13 |       30.00% |       47.62% |       1.6284 |       1.2150 |      1.0000e-10 |
|      78 |         850 |       00:06:36 |       80.00% |       42.86% |       0.7404 |       1.2710 |      1.0000e-10 |
|      82 |         900 |       00:07:00 |      100.00% |       42.86% |       0.5178 |       1.3816 |      1.0000e-11 |
|      87 |         950 |       00:07:23 |       60.00% |       42.86% |       1.1023 |       1.2921 |      1.0000e-11 |
|      91 |        1000 |       00:07:46 |       60.00% |       47.62% |       0.8024 |       1.2171 |      1.0000e-12 |
|      96 |        1050 |       00:08:10 |       80.00% |       57.14% |       0.8920 |       1.1751 |      1.0000e-12 |
|     100 |        1100 |       00:08:34 |       50.00% |       52.38% |       1.4194 |       1.1889 |      1.0000e-12 |
|======================================================================================================================|
